Date,year,Address,City,Responsetime,lat,long
2013-12-17,2013,375 Newton Rd,Iowa City,4.25,41.6632071,-91.5453577
2014-01-06,2014,404 S Gilbert St,Iowa City,3.01,41.6568029,-91.5299783
2014-01-09,2014,527 N Dubuque St,Iowa City,4.06,41.667674,-91.533401
2014-01-28,2014,320 S Dubuque St,Iowa City,3.15,41.6570266,-91.5327378
2014-02-11,2014,639 S Lucas St,Iowa City,3.54,41.652839,-91.524726
2014-03-18,2014,623 E Jefferson St,Iowa City,2.57,41.662065,-91.526266
2014-03-26,2014,511 S Capitol St,Iowa City,3.58,41.6549819,-91.5365939
2014-03-31,2014,1103 Cambria Ct,Iowa City,4.38,41.647009,-91.572638
2014-04-15,2014,2339 Heinz Rd,Iowa City,2.4,41.635118,-91.489694
2014-04-30,2014,526 S Johnson St,Iowa City,2.46,41.654502,-91.526894
2014-05-18,2014,214 N Linn St,Iowa City,2.41,41.664071,-91.531318
2014-06-19,2014,1220 W Highway #6,Iowa City,4.22,41.7512494,-91.8110374
2014-06-20,2014,1136 Eagle Pl,Iowa City,6.37,41.6705026,-91.5976812
2014-07-07,2014,614 E Jefferson st,Iowa City,3.01,41.662759,-91.5264739
2014-07-13,2014,2500 E Highway #6,Iowa City,4.49,41.6352244,-91.5000773
2014-07-15,2014,103 S Capitol St,Iowa City,3.34,41.6601115,-91.5361776
2014-07-15,2014,619 Fairchild St,Iowa City,4.35,41.666525,-91.526344
2014-07-19,2014,1515 Prairie Du Chien Rd,Iowa City,4.24,41.682457,-91.521914
2014-07-29,2014,715 E Burlington St,Iowa City,2.41,41.657556,-91.524952
2014-08-02,2014,245 S Gilbert St,Iowa City,2.03,41.658467,-91.5302199
2014-08-02,2014,245 S Gilbert St,Iowa City,2.19,41.658467,-91.5302199
2014-09-21,2014,1117 Church St,Iowa City,3.37,41.6681979,-91.51956
2014-09-23,2014,2609 Westwinds Dr,Iowa City,4.49,41.650695,-91.577563
2014-09-24,2014,251 N Capitol St,Iowa City,3.41,41.6586749,-91.5361668
2014-10-06,2014,1032 N Dubuque,Iowa City,3.42,41.674134,-91.532209
2014-10-13,2014,2128 S Riverside Dr,Iowa City,6.43,41.6312726,-91.536116
2014-10-16,2014,611 S clinton St,Iowa City,3.2,41.6540894,-91.5349654
2014-10-31,2014,130 N Linn St,Iowa City,2.11,41.6630678,-91.5314794
2014-11-08,2014,1324 Kirkwood Ave,Iowa City,3.44,41.64976,-91.515618
2014-11-12,2014,2161 Willenbrock Cir,Iowa City,7.09,41.6759616,-91.5565936
2014-11-20,2014,716 Fairchild St,Iowa City,3.35,41.667146,-91.525041
2014-11-20,2014,10 Jema Ct,Iowa City,3.52,41.649295,-91.573033
2014-11-23,2014,2104 Miami Dr,Iowa City,3.33,41.6362669,-91.5015449
2014-12-01,2014,917 Dover St,Iowa City,5.29,41.650376,-91.495184
2014-12-30,2014,601 W Highway #6,Iowa City,3.37,41.6352244,-91.5000773
2016-02-06,2016,1926 Broadway St,Iowa City,4,41.6405972,-91.5200812
