Date,year,Address,City,Inc. #,Responsetime,address_geo,lat,long
2011-03-03,2011,1100 1ST SW,Cedar Rapids,1101603,5.4,"1100 1ST SW, Cedar Rapids, Iowa",41.9721314,-91.6856572
2011-03-15,2011,2160 EDGEWOOD NW,Cedar Rapids,1101930,6.42,"2160 EDGEWOOD NW, Cedar Rapids, Iowa",41.9981024,-91.7093049
2011-03-18,2011,4421 LORAINE NE,Cedar Rapids,1102002,6.01,"4421 LORAINE NE, Cedar Rapids, Iowa",42.026098,-91.647244
2011-03-18,2011,361 30TH STR SE,Cedar Rapids,1102010,3.58,"361 30TH STR SE, Cedar Rapids, Iowa",41.98527,-91.6243719
2011-03-21,2011,3223 MOUND SE,Cedar Rapids,1102061,5.05,"3223 MOUND SE, Cedar Rapids, Iowa",41.979039,-91.620627
2011-03-28,2011,2013 WEST POST SW,Cedar Rapids,1102247,5.09,"2013 WEST POST SW, Cedar Rapids, Iowa",41.9597856,-91.7403852
2011-03-28,2011,1708 C SW,Cedar Rapids,1102253,4.59,"1708 C SW, Cedar Rapids, Iowa",41.963372,-91.660866
2011-03-29,2011,2506 CANYON SW,Cedar Rapids,1102264,5.09,"2506 CANYON SW, Cedar Rapids, Iowa",41.9538024,-91.7412452
2011-03-31,2011,3320 QUEEN SW,Cedar Rapids,1102313,5.17,"3320 QUEEN SW, Cedar Rapids, Iowa",41.944251,-91.715189
2011-04-02,2011,408 EDGEWOOD NW,Cedar Rapids,1102385,2.44,"408 EDGEWOOD NW, Cedar Rapids, Iowa",41.9775528,-91.7164456
2011-04-02,2011,4320 WESTCHESTER NE,Cedar Rapids,1102390,3.44,"4320 WESTCHESTER NE, Cedar Rapids, Iowa",42.023592,-91.6853129
2011-04-05,2011,824 M NW,Cedar Rapids,1102465,5.16,"824 M NW, Cedar Rapids, Iowa",41.987005,-91.684376
2011-04-05,2011,1644 13TH NW,Cedar Rapids,1102483,6.51,"1644 13TH NW, Cedar Rapids, Iowa",41.9903959,-91.690766
