Date,Year,Address,City,ResponseTime,lat,long
20-Sep-2010,2010,690 Bentley Dr,Marion,6.01,42.0462442,-91.6017473
23-Sep-2010,2010,612 16TH SE,Cedar Rapids,4.24,41.981088,-91.647514
29-Sep-2010,2010,2975 F NW,Cedar Rapids,4.48,41.9791947,-91.7114338
30-Sep-2010,2010,200 Ridge Drive,Marion,6.15,42.0292799,-91.6220356
4-Oct-2010,2010,1315 OAKLAND NE,Cedar Rapids,5,42.0023352,-91.6598855
5-Oct-2010,2010,1135 Blairs Ferry Road,Marion,3.4,42.031752,-91.620457
6-Oct-2010,2010,655 49th Street,Marion,4.06,42.031268,-91.557439
7-Oct-2010,2010,3009 12TH SW,Cedar Rapids,4.04,41.9650055,-91.7107202
10-Oct-2010,2010,1915 GRETCHEN SW,Cedar Rapids,0.52,41.9593533,-91.7480588
10-Oct-2010,2010,1915 Gretchen SW,Cedar Rapids,0.52,41.9593533,-91.7480588
11-Oct-2010,2010,2733 2 nd SE,Cedar Rapids,4.59,42.004407,-91.632988
13-Oct-2010,2010,1545 2nd SE,Cedar Rapids,2.5,41.987943,-91.649851
13-Oct-2010,2010,1860 County Home Road,Marion,10.13,42.0938155,-91.5474102
14-Oct-2010,2010,1410 32 nd NE,Cedar Rapids,5.1,42.0107349,-91.656796
15-Oct-2010,2010,1109 Pine St,Iowa City,5.45,41.648911,-91.513864
16-Oct-2010,2010,4500 Tower Terrace Road,Marion,6.56,42.0594695,-91.5796012
20-Oct-2010,2010,1600 BLAIRS FERRY NE,Cedar Rapids,7.45,42.0351404,-91.6608234
22-Oct-2010,2010,824 3RD SE,Cedar Rapids,7.5,41.981637,-91.659591
24-Oct-2010,2010,1218 33RD NE,Cedar Rapids,6.27,42.011476,-91.653276
24-Oct-2010,2010,2711 Ferndale Dr,Iowa City,4,41.655324,-91.494983
25-Oct-2010,2010,2309 C SW,Cedar Rapids,4.43,41.9563049,-91.6475767
27-Oct-2010,2010,1739 4TH SE,Cedar Rapids,4.3,41.983303,-91.645019
