GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total"
142010301500000,"CITY PROPERTY",EXEMPT,"","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,12870
142010400100000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.164,"Detached Structures Only",Salvage,2000,"","","",0,74541
142010400300000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"Detached Structures Only","",1918,"","","",0,74766
142010400400000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.294,"","","","","","",0,92622
142010400500000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,99501
142010400600000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,87775
142010400700000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,95884
142010400800000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"Detached Structures Only","",2010,"","","",0,86925
142010400900000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,57099
142010401000000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.294,"","","","","","",0,64710
142010401100000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"Detached Structures Only","",2010,"","","",0,84884
142010401200000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,71995
142010401300000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,56132
142010401400000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,68992
142010401500000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,67208
142010401600000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,70684
142010401700000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,69472
142010401800000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,81218
142010401900000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,67788
142010402100000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,73243
142010402200000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.176,"","","","","","",0,82816
142010402300000,"CITY PROPERTY",EXEMPT,"","5TH ST NW","CEDAR RAPIDS CITY OF",0.265,"Detached Structures Only","",1857,"","","",0,96585
142010402400000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.128,"","","","","","",0,77172
142010500100000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","",1915,"","","",0,94608
142010500200000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,84955
142010500300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,87931
142010500400000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,77680
142010500500000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.367,"","","","","","",0,93920
142010500600000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,92284
142010500700000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,94852
142010500900000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,79214
142010501000000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,106633
142010501100000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,81857
142010501200000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,97037
142010501300000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,58619
142010501500000,"CITY PROPERTY",EXEMPT,"","O AVE NW","CEDAR RAPIDS CITY OF",0.07,"","","","","","",0,58703
142010501600000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,105513
142010501700000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,62829
142010501800000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,69001
142010501900000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,82195
142010502000000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,61142
142010502100000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,71673
142010502200000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,68810
142010502300000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,69411
142010502400000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,111037
142010502500000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,67832
142010502600000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.22,"","","","","","",0,100491
142010502700000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,87116
142010502800000,"CITY PROPERTY",EXEMPT,"","6TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,94099
142012600200000,"CITY PROPERTY",EXEMPT,"","Q AVE NW","CEDAR RAPIDS CITY OF",0.084,"","","","","","",0,54593
142012600300000,"CITY PROPERTY",EXEMPT,"","Q AVE NW","CEDAR RAPIDS CITY OF",0.084,"","","","","","",0,72520
142012600400000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,87723
142012600500000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,64950
142012600600000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,76485
142012600700000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,74879
142012600800000,"CITY PROPERTY",EXEMPT,"","8TH ST NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,85276
142012601200000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.118,"","","","","","",0,71509
