GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","Gross Bldg Area","2008 total","2016 Total"
141730100100000,"CITY PROPERTY",EXEMPT,"ELLIS PARK","ELLIS LN NW","CEDAR RAPIDS CITY OF",156.68,"","","","","","","",0,0
141732600100000,"CITY PROPERTY",EXEMPT,"ELLIS PARK","VACANT LAND NW","CEDAR RAPIDS CITY OF",22.2,"","","","","","","",0,0
141740200200000,"CITY PROPERTY",EXEMPT,"PART OF CITY WATER WORKS","VACANT LAND NE","CEDAR RAPIDS CITY OF",47.2,"","","","","","","",0,0
141810100100000,"CITY PROPERTY",EXEMPT,"SECTION OF RIVER","VACANT LAND NW","CEDAR RAPIDS CITY OF",44.11,"","","","","","","",0,0
141815105300000,"CITY PROPERTY",EXEMPT,"ELLIS GOLF COURSE","VACANT LAND NW","CEDAR RAPIDS CITY OF",19.7,"","","","","","","",0,0
141817600100000,"CITY PROPERTY",EXEMPT,"ELLIS GOLF COURSE","VACANT LAND NW","CEDAR RAPIDS CITY OF",38.75,"","","","","","","",0,0
141820100200000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",5.95,"","","","","","","",0,0
141822600100000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",4.37,"","","","","","","",0,0
141822800100000,"CITY PROPERTY",EXEMPT,"SECTION OF RIVER","VACANT LAND NE","CEDAR RAPIDS CITY OF",4.0,"","","","","","","",0,0
141840101700000,"CITY PROPERTY",EXEMPT,"ELLIS GOLF COURSE","VACANT LAND NW","CEDAR RAPIDS CITY OF",2.5,"","","","","","","",0,0
141847603000000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",2.96,"","","","","","","",0,0
141922803800000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.149,"","","","","","","",0,0
141940100100000,"CITY PROPERTY",EXEMPT,"SHAWNEE PARK","19TH ST NW","CEDAR RAPIDS CITY OF",19.83,"","","","","","","",0,0
141945500300000,"CITY PROPERTY",EXEMPT,"VACANT LAND","VACANT LAND NW","CEDAR RAPIDS CITY OF",0.316,"","","","","","","",0,0
