GIS_Number,"Map Name",Class,Doing_Business_As,Address,Deedholder,Acres,"Residential Occupancy Type","Style Descr","Year Built","Total Living Area","Commercial Occupancy Type","Year Built_2","2013 Total","2008 total","2016 Total"
142040100300000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.1148,"","","","","","",0,36448,""
142125201700000,"CITY PROPERTY",EXEMPT,"","1ST ST NW","CEDAR RAPIDS CITY OF",0.132,"","","","","","",0,36584,""
142040301100000,"CITY PROPERTY",EXEMPT,"","K AVE NW","CEDAR RAPIDS CITY OF",0.046,"","","","","","",0,36981,""
142848101000000,"CITY PROPERTY",EXEMPT,"","20TH AVE SW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,37800,""
142732900100000,"CITY PROPERTY",EXEMPT,"","3RD ST SE","CEDAR RAPIDS CITY OF",0.096,"Two-Family Conversion",Salvage,1880,682.0,"","",0,38553,75600
142040602600000,"CITY PROPERTY",EXEMPT,"","J AVE NW","CEDAR RAPIDS CITY OF",0.147,"","","","","","",0,38654,""
142048401400000,"CITY PROPERTY",EXEMPT,"","F AVE NW","CEDAR RAPIDS CITY OF",0.129,"","","","","","",0,38705,12000
142041100200000,"CITY PROPERTY",EXEMPT,"","I AVE NW","CEDAR RAPIDS CITY OF",0.082,"","","","","","",0,38910,""
142015501900000,"CITY PROPERTY",EXEMPT,"","ELLIS BLVD NW","CEDAR RAPIDS CITY OF",0.07,"","","","","","",0,39226,""
142911100700000,"CITY PROPERTY",EXEMPT,"","B AVE NW","CEDAR RAPIDS CITY OF",0.096,"","","","","","",0,39994,12200
142048401200000,"CITY PROPERTY",EXEMPT,"","F AVE NW","CEDAR RAPIDS CITY OF",0.08,"","","","","","",0,40320,8900
142047600100000,"CITY PROPERTY",EXEMPT,"","I AVE NW","CEDAR RAPIDS CITY OF",0.06,"","","","","","",0,40358,""
142047600200000,"CITY PROPERTY",EXEMPT,"","I AVE NW","CEDAR RAPIDS CITY OF",0.06,"","","","","","",0,40522,""
142125100600000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.092,"","","","","","",0,40760,""
142040301200000,"CITY PROPERTY",EXEMPT,"","K AVE NW","CEDAR RAPIDS CITY OF",0.115,"","","","","","",0,41653,""
143310801900000,"CITY PROPERTY",EXEMPT,"","MALLORY ST SW","CEDAR RAPIDS CITY OF",0.09,"","","","","","",0,41711,12500
142823500900000,"CITY PROPERTY",EXEMPT,"PAVING ONLY","3RD AVE SW","CEDAR RAPIDS CITY OF",0.1928,"","","","","","",0,42457,""
142918601900000,"CITY PROPERTY",EXEMPT,"","6TH ST SW","CEDAR RAPIDS CITY OF",0.056,"","","","","","",0,42837,""
142132600600000,"CITY PROPERTY",EXEMPT,"","K AVE NW","CEDAR RAPIDS CITY OF",0.057,"","","","","","",0,43156,""
142735400200000,"CITY PROPERTY",EXEMPT,"","A ST SW","CEDAR RAPIDS CITY OF",0.063,"Detached Structures Only","",1938,"","","",0,43209,""
142018401900000,"CITY PROPERTY",EXEMPT,"","3RD ST NW","CEDAR RAPIDS CITY OF",0.126,"","","","","","",0,43215,""
142838300300000,"CITY PROPERTY",EXEMPT,"","13TH AVE SW","CEDAR RAPIDS CITY OF",0.034,"","","","","","",0,43772,""
