"",Reporting precincts,Total Precincts,Trump,Clinton,Johnson,Write-in,Stein,Castle,Vacek,McMullin,Kahn,De La Fuente,La Riva,winner
Wapello,23,23,8715,5594,380,144,122,49,45,65,30,4,1,Trump
Warren,32,32,14773,10371,1270,294,122,124,17,192,28,12,7,Trump
Washington,11,11,6173,3943,459,96,79,63,10,92,10,2,2,Trump
Wayne,5,5,2069,719,78,19,17,10,3,20,4,1,0,Trump
Webster,29,29,10056,6305,569,170,113,65,24,104,16,5,3,Trump
Winnebago,11,11,3447,1931,218,48,34,36,6,49,10,7,1,Trump
Winneshiek,12,12,5344,5254,382,116,99,35,13,102,17,0,0,Trump
Woodbury,45,45,24722,16201,1179,568,324,207,151,234,93,12,12,Trump
Worth,8,8,2453,1530,165,24,24,15,4,34,7,1,0,Trump
Wright,11,11,3800,1896,176,60,35,19,6,25,6,1,2,Trump
