county,population,2011-2015,2010-2014,2009-2013,2008-2012,2007-2011,2006-2010,2005-2009,2004-2008,2003-2007
Sac,10162,19.63267891,19.79565773,16.7850226,15.18151815,16.57824934,16.98236447,17.26342711,18.02361715,22.71368799
Scott,168714,29.78930429,32.36282195,37.60151296,39.35329781,41.6,43.03706369,44.18214884,43.33107651,43.23744863
Shelby,12034,16.16161616,15.44401544,15.45667447,18.7300137,17.69509982,18.96162528,18.7471422,18.76430206,15.56064073
Sioux,34261,14.25055059,15.71224516,15.67154514,16.88361902,17.19088247,17.62005212,17.59036145,17.7250851,16.51565547
Story,91939,4.453026482,4.862898942,5.822900636,7.078370703,8.509551972,9.044706693,9.341327772,8.633220279,7.635282106
Tama,17568,28.44712182,29.51670451,33.03399615,34.07643312,38.12224323,37.44493392,40.69400631,38.70358716,39.11671924
Taylor,6225,28.62985685,29.44162437,27.53195674,25.19379845,28.21011673,30.00968054,28.43601896,23.99232246,20.79395085
Union,12554,26.35361763,30.09373458,36.58536585,41.75257732,41.62384378,38.81511747,40.36791007,34.95440729,34.57041179
Van Buren,7487,14.19110691,20.42711235,27.49770852,27.90279028,28.44827586,31.06633081,31.91489362,32.13166144,31.51421983
Wapello,35406,38.21539587,41.99288256,47.46289265,51.28205128,54.75120652,56.15942029,55.19748802,53.23383085,52.49080575
Warren,47058,17.32914546,18.41159168,19.53211212,20.12972489,19.56349655,20.09646302,20.65543503,20.83574488,20.99860009
Washington,21906,23.84252842,23.04275403,24.61538462,25.29846504,25.06482282,30.47011027,31.80624453,29.59273367,29.78971963
Wayne,6385,24.08376963,27.02702703,26.77651905,33.26612903,41.2979351,43.72623574,45.95588235,50.87719298,44.9533503
Webster,37399,26.65810181,26.89797867,30.75011648,34.78791578,37.10353082,39.41541187,42.75011018,42.51550044,40.302267
Winnebago,10645,18.85606537,20.63789869,21.06495026,24.7311828,22.80614774,25.53579571,24.76515798,22.24087285,17.54385965
Winneshiek,20957,6.538461538,5.934150077,6.659056317,7.188800605,6.964050442,7.276119403,7.520176082,7.761732852,7.108583615
Woodbury,102372,34.3547404,38.46998134,42.35230645,46.09550262,47.21941892,50.02387141,50.13347571,49.70286332,50.10940919
Worth,7567,13.67781155,14.53710788,17.26844584,18.37060703,23.10231023,25.77319588,23.87267905,26.61934339,28.21869489
