Casey's Location,County,County # (See Map),Walmart in town?,Title X Agency & Clinic (Nearby ?),Title X Satellite Clinic,Satellite Clinic with Referral for Physical Examination,latitude,longitude
Colo,Story,48,,,"Ames, IA (20-25 minutes away)",,42.0144965,-93.317692
Gilbert,Story,48,,,"Ames, IA (10-15 minutes away)",,42.10725,-93.64623
Huxley ,Story,48,,,"Ames, IA (20 minutes away); Des Moines/Ankeny, IA (20-30 minutes away)",,41.89527,-93.60077
Slater,Story,48,,,,,41.878372999999996,-93.68567999999999
Maxwell,Story,48,,,"Ames, IA (25 minutes away); Des Moines/Ankeny, IA (20-30 minutes away)",,41.89193,-93.39965
Nevada,Story,48,,,"Ames, IA (15 minutes away)",,42.017334000000005,-93.4780835
Roland,Story,48,,,"Ames, IA (20 minutes away) ",,42.16637,-93.50188
Story City,Story,48,,,"Ames, IA (20 minutes away)",,42.1866,-93.58655
Dysart,Tama,50,,,"Toledo, IA (30-35 minutes away)",,42.17166,-92.3063
Gladbrook,Tama,50,,,"Toledo, IA (25 minutes away)",,42.18776,-92.7152
Tama,Tama,50,,,"Toledo, IA (10 minutes away)",,41.96666,-92.57686
Toledo,Tama,50,,,Toledo Clinic,,41.99117,-92.5834405
Bedford,Taylor,91,,,,,40.66693,-94.72136
Lenox,Taylor,91,,,,,40.88165,-94.56191
Afton,Union,85,,,,,41.0288385,-94.19523000000001
Creston,Union,85,YES,,,,41.0586,-94.36135
Farmington,Van Buren,97,,,"Keosauqua, IA (20 minutes away)",,40.6388475,-91.7389735
Eldon,Wapello,81,,"Ottumwa, IA (20 minutes away)",,,40.91863,-92.22296
Ottumwa,Wapello,81,YES,"Southern Iowa Family Planning, Inc.",,,41.0320075,-92.419975
Carlisle,Warren,71,,,"Des Moines/Ankeny, IA (30-40 minutes away)",,41.506983,-93.503494
Indianola,Warren,71,YES,,"Des Moines/Ankeny, IA (30-45 minutes away)",,41.366986,-93.566002
Milo,Warren,71,,,"Des Moines/Ankeny, IA (40-50 mInutes away)",,41.2885215,-93.439857
Ainsworth,Washington,75,,,,,41.2902865,-91.554472
Kalona,Washington,75,,,"Washington, IA (20 minutes away)",,41.485887,-91.7021795
Washington,Washington,75,YES,,Washington County Clinic,,41.29918,-91.69294
Wellman,Washington,75,,,"Washington, IA (25 minutes away)",,41.470875500000005,-91.83150900000001
Corydon,Wayne,94,,,Wayne County Public Health Nursing,,40.7561895,-93.3186695
Humeston,Wayne,94,,,"Corydon, IA (20 minutes away)",,40.861944,-93.49728
Seymour,Wayne,94,,,"Corydon, IA (20 minutes away)",,40.682494,-93.12105349999999
Dayton,Webster,38,,,,,42.261238000000006,-94.0708185
Fort Dodge,Webster,38,YES,,,,42.5098,-94.17511
Gowrie,Webster,38,,,,,42.28053,-94.2908
Buffalo Center,Winnebago,6,,,,"Forest City, IA (30 minutes away)",43.38579,-93.94662
Forest City,Winnebago,6,,,,Forest City Clinic,43.25697,-93.63641
Lake Mills,Winnebago,6,,,,"Forest City, IA (20 minutes away)",43.41695,-93.53206
Decorah,Winneshiek,10,YES,Northeast Iowa Community Action Corp.,,,43.30181,-91.785
Ossian,Winneshiek,10,,"Decorah, IA (20 minutes away)",,,43.1469815,-91.76539
Sergeant Bluff,Woodbury,42,,,,,42.398323000000005,-96.3554495
Correctionville,Woodbury,42,,,"Sioux City, IA (45 minutes away)",,42.4780595,-95.781473
Moville,Woodbury,42,,,"Sioux City, IA (30 minutes away)",,42.48888,-96.07252
Sioux City,Woodbury,42,YES,,Planned Parenthood of the Heartland,,42.49604,-96.39066
Sloan,Woodbury,42,,,"Sioux City, IA (30 minutes away)",,42.23242,-96.22571
Northwood,Worth,7,,,,,43.44412,-93.22104
Manly,Worth,7,,,,,43.28718,-93.20215
Belmond,Wright,27,,,,,42.84657,-93.60845
Clarion,Wright,27,,,,,42.73164,-93.73299
Dows,Wright,27,,,,,42.6592355,-93.501262
Eagle Grove,Wright,27,,,,,42.669288,-93.9024785
Goldfield,Wright,27,,,,,42.7359285,-93.91448
