GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
113412600600000,NE 163,Residential,27030,130821,0,157851
113412600700000,NE 163,Residential,27030,148969,0,175999
113412600800000,NE 163,Residential,28560,133426,0,161986
113412600900000,NE 163,Residential,30704,136902,0,167606
113412601000000,NE 163,Residential,27030,133759,0,160789
113412601100000,NE 163,Residential,27030,134161,0,161191
113412601200000,NE 163,Residential,27030,126449,0,153479
113412601300000,NE 163,Residential,27030,138893,0,165923
113412601400000,NE 163,Residential,27030,151447,0,178477
113412601500000,NE 163,Residential,27030,162509,0,189539
113412601600000,NE 163,Residential,27030,161643,0,188673
113412700100000,NE 163,Residential,30600,148558,0,179158
113412700200000,NE 163,Residential,28560,154446,0,183006
113412700300000,NE 163,Residential,28560,164048,0,192608
113412700401000,CONDO 501,Residential,9000,84765,0,93765
113412700401001,CONDO 501,Residential,9000,78783,0,87783
113412700401002,CONDO 501,Residential,9000,78783,0,87783
113412700401003,CONDO 501,Residential,9000,84765,0,93765
113412700401004,CONDO 501,Residential,9000,84765,0,93765
113412700401005,CONDO 501,Residential,9000,78783,0,87783
113412700401006,CONDO 501,Residential,9000,78783,0,87783
113412700401007,CONDO 501,Residential,9000,84765,0,93765
113412700401008,CONDO 501,Residential,9000,82392,0,91392
113412700401009,CONDO 501,Residential,9000,78783,0,87783
113412700401010,CONDO 501,Residential,9000,78783,0,87783
113412700401011,CONDO 501,Residential,9000,82392,0,91392
113412700401012,CONDO 501,Residential,9000,82392,0,91392
113412700401013,CONDO 501,Residential,9000,78783,0,87783
113412700401014,CONDO 501,Residential,9000,78783,0,87783
113412700401015,CONDO 501,Residential,9000,84765,0,93765
113412700401016,CONDO 501,Residential,9000,102808,0,111808
113412700401017,CONDO 501,Residential,9000,97078,0,106078
113412700401018,CONDO 501,Residential,9000,96579,0,105579
113412700401019,CONDO 501,Residential,9000,96859,0,105859
113412700401020,CONDO 501,Residential,9000,100934,0,109934
113412700401021,CONDO 501,Residential,9000,82392,0,91392
113412700401022,CONDO 501,Residential,9000,78783,0,87783
113412700401023,CONDO 501,Residential,9000,78783,0,87783
113412700401024,CONDO 501,Residential,9000,84765,0,93765
113412700401025,CONDO 501,Residential,9000,84765,0,93765
113412700401026,CONDO 501,Residential,9000,78783,0,87783
113412700401027,CONDO 501,Residential,9000,78783,0,87783
113412700401028,CONDO 501,Residential,9000,84765,0,93765
113412700401029,CONDO 501,Residential,9000,101444,0,110444
113412700401030,CONDO 501,Residential,9000,102631,0,111631
113412700401031,CONDO 501,Residential,9000,96344,0,105344
113412700401032,CONDO 501,Residential,9000,97588,0,106588
113412700401033,CONDO 501,Residential,9000,97433,0,106433
113412700401034,CONDO 501,Residential,9000,100920,0,109920
113412700500000,NE 163,Residential,31981,152119,0,184100
113412700600000,NE 163,Residential,24480,145711,0,170191
113412700700000,NE 163,Residential,25671,159600,0,185271
113412700800000,NE 163,Residential,28549,157238,0,185787
113412700900000,NE 163,Residential,31172,169912,0,201084
113412701000000,NE 163,Residential,30636,160958,0,191594
113412701100000,NE 163,Residential,28973,163350,0,192323
113412701200000,NE 163,Residential,28004,146646,0,174650
113412701300000,NE 163,Residential,25000,142597,0,167597
113412701400000,NE 163,Residential,25000,161281,0,186281
113412701500000,NE 163,Residential,25000,156693,0,181693
113412701600000,NE 163,Residential,25000,156989,0,181989
113412701700000,NE 163,Residential,28000,158628,0,186628
113412701800000,NE 163,Residential,30426,164728,0,195154
113412701900000,NE 163,Residential,30360,171993,0,202353
113412702000000,NE 163,Residential,29921,178735,0,208656
113412702100000,NE 163,Residential,27840,169216,0,197056
113412702200000,NE 163,Residential,28080,171214,0,199294
113412800200000,NE 163,Residential,29536,167218,0,196754
113412800300000,NE 163,Residential,28560,172636,0,201196
113412800400000,NE 163,Residential,23582,168110,0,191692
113412800500000,NE 163,Residential,26112,161124,0,187236
113412800600000,NE 163,Residential,24847,157509,0,182356
113412800700000,NE 163,Residential,24480,159551,0,184031
113412800800000,NE 163,Residential,25582,173255,0,198837
113412800900000,NE 163,Residential,24480,142353,0,166833
113412801000000,NE 163,Residential,24847,164386,0,189233
113412801100000,NE 163,Residential,24847,152869,0,177716
113412801200000,NE 163,Residential,23990,155809,0,179799
113412801300000,NE 163,Residential,24480,153678,0,178158
113412801400000,NE 163,Residential,24480,162456,0,186936
113412801500000,NE 163,Residential,24480,165740,0,190220
113412801600000,NE 163,Residential,24480,133009,0,157489
113412801700000,NE 163,Residential,26520,157757,0,184277
113412801800000,NE 163,Residential,22440,130752,0,153192
113412801900000,NE 163,Residential,24480,156629,0,181109
113412802000000,NE 163,Residential,24480,135361,0,159841
113412802100000,NE 163,Residential,24480,152143,0,176623
113412900100000,NE 163,Residential,25822,145523,0,171345
113412900200000,NE 163,Residential,25822,131441,0,157263
113412900300000,NE 163,Residential,25822,143848,0,169670
113412900400000,NE 163,Residential,25822,149894,0,175716
113412900500000,NE 163,Residential,25822,151479,0,177301
113412900600000,NE 163,Residential,25822,160452,0,186274
113412900700000,NE 163,Residential,25822,177329,0,203151
113412900800000,NE 163,Residential,25822,147093,0,172915
113412900900000,NE 163,Residential,25822,137022,0,162844
113412901000000,NE 163,Residential,29680,170938,0,200618
113412901100000,NE 163,Residential,31428,158312,0,189740
113412901200000,NE 163,Residential,26712,146598,0,173310
113412901300000,NE 163,Residential,26712,158426,0,185138
113412901400000,NE 163,Residential,26712,154849,0,181561
113412901500000,NE 163,Residential,26712,154256,0,180968
113412901600000,NE 163,Residential,26712,170930,0,197642
113412901700000,NE 163,Residential,26712,157524,0,184236
113412901800000,NE 163,Residential,26712,151315,0,178027
113412901900000,NE 163,Residential,26712,176924,0,203636
113413000100000,NE 163,Residential,25201,165459,0,190660
113413000200000,NE 163,Residential,25217,183225,0,208442
113413000300000,NE 163,Residential,26337,175063,0,201400
113413000400000,NE 163,Residential,26460,179120,0,205580
113413000500000,NE 163,Residential,26460,158225,0,184685
113413000600000,NE 163,Residential,26460,166282,0,192742
113413000700000,NE 163,Residential,26460,181036,0,207496
113413000800000,NE 163,Residential,26460,160428,0,186888
113413000900000,NE 163,Residential,26460,175941,0,202401
113413001000000,NE 163,Residential,31104,150532,0,181636
113413001100000,NE 163,Residential,31378,224551,0,255929
113413001200000,NE 163,Residential,31408,200262,0,231670
113413001300000,NE 163,Residential,31527,184538,0,216065
113413001400000,NE 163,Residential,31500,163126,0,194626
113413001500000,NE 163,Residential,32340,159226,0,191566
113413001600000,NE 163,Residential,32832,179841,0,212673
113413001700000,NE 163,Residential,32477,161408,0,193885
113413001800000,NE 163,Residential,33101,170209,0,203310
113413001900000,NE 163,Residential,28307,150319,0,178626
113413002000000,NE 163,Residential,28453,152093,0,180546
113413002100000,NE 163,Residential,30932,140639,0,171571
113413002200000,E-15 CITY,Exempt,0,0,0,0
113413002300000,NE 163,Residential,33182,178418,0,211600
113413002400000,NE 163,Residential,32308,159868,0,192176
113413002500000,NE 163,Residential,29963,143603,0,173566
113413002600000,NE 163,Residential,24752,151896,0,176648
113415100100000,E-40 CHURCHES,Exempt,582552,0,763124,1345676
113415100300000,NE 163,Residential,42050,301428,0,343478
113415100400000,NE 163,Residential,40675,263654,0,304329
113415100500000,NE 163,Residential,28000,304679,0,332679
113415100600000,NE 163,Residential,8443,0,0,8443
113415200100000,COMM NE,Commercial,350676,0,0,350676
113415200200000,COMM NE,Commercial,290995,0,384005,675000
113417600500000,COMM NE,Commercial,302400,0,691878,994278
113417600600000,COMM NE,Commercial,104427,0,372070,476497
113417600700000,NE 163,Commercial,247536,0,0,247536
113417600800000,COMM NE,Commercial,174636,0,1741917,1916553
113417600900000,COMM NE,Commercial,27350,0,165271,192621
113417700100000,COMM NE,Commercial,341550,0,609695,951245
113417700201000,CONDO 500,Residential,4500,50646,0,55146
113417700201001,CONDO 500,Residential,4500,50646,0,55146
113417700201002,CONDO 500,Residential,4500,50646,0,55146
113417700201003,CONDO 500,Residential,4500,50646,0,55146
113417700201004,CONDO 500,Residential,4500,50646,0,55146
113417700201005,CONDO 500,Residential,4500,50646,0,55146
113417700201006,CONDO 500,Residential,4500,50646,0,55146
113417700201007,CONDO 500,Residential,4500,50646,0,55146
113417700201008,CONDO 500,Residential,4500,50646,0,55146
113417700201009,CONDO 500,Residential,4500,50646,0,55146
113417700201010,CONDO 500,Residential,4500,50646,0,55146
113417700201011,CONDO 500,Residential,4500,50646,0,55146
113417700201012,CONDO 500,Residential,4500,50646,0,55146
113417700201013,CONDO 500,Residential,4500,50646,0,55146
113417700201014,CONDO 500,Residential,4500,50646,0,55146
113417700201015,CONDO 500,Residential,4500,50646,0,55146
113417700201016,CONDO 500,Residential,4500,50646,0,55146
113417700201017,CONDO 500,Residential,4500,50646,0,55146
113417700201018,CONDO 500,Residential,4500,50646,0,55146
113417700201019,CONDO 500,Residential,4500,50646,0,55146
113417700201020,CONDO 500,Residential,4500,50624,0,55124
113417700201021,CONDO 500,Residential,4500,50515,0,55015
113417700201022,CONDO 500,Residential,4500,52705,0,57205
113417700201023,CONDO 500,Residential,4500,52014,0,56514
113417700201024,CONDO 500,Residential,4500,50515,0,55015
113417700201025,CONDO 500,Residential,4500,50624,0,55124
113417700201026,CONDO 500,Residential,4500,52014,0,56514
113417700201027,CONDO 500,Residential,4500,52705,0,57205
113417700201028,CONDO 500,Residential,4500,50624,0,55124
113417700201029,CONDO 500,Residential,4500,50515,0,55015
113417700201030,CONDO 500,Residential,4500,52705,0,57205
113417700201031,CONDO 500,Residential,4500,52014,0,56514
113417700201032,CONDO 500,Residential,4500,50515,0,55015
113417700201033,CONDO 500,Residential,4500,50624,0,55124
113417700201034,CONDO 500,Residential,4500,52014,0,56514
113417700201035,CONDO 500,Residential,4500,52705,0,57205
113417700201036,CONDO 500,Residential,4500,50624,0,55124
113417700201037,CONDO 500,Residential,4500,50515,0,55015
113417700201038,CONDO 500,Residential,4500,52705,0,57205
113417700201039,CONDO 500,Residential,4500,52014,0,56514
113417700201040,CONDO 500,Residential,4500,50515,0,55015
113417700201041,CONDO 500,Residential,4500,50624,0,55124
113417700201042,CONDO 500,Residential,4500,52014,0,56514
113417700201043,CONDO 500,Residential,4500,52705,0,57205
113417700201044,CONDO 500,Residential,4500,50624,0,55124
113417700201045,CONDO 500,Residential,4500,50515,0,55015
113417700201046,CONDO 500,Residential,4500,52705,0,57205
113417700201047,CONDO 500,Residential,4500,52014,0,56514
113417700201048,CONDO 500,Residential,4500,50515,0,55015
113417700201049,CONDO 500,Residential,4500,50624,0,55124
113417700201050,CONDO 500,Residential,4500,52014,0,56514
113417700201051,CONDO 500,Residential,4500,52705,0,57205
113417700201052,CONDO 500,Residential,4500,50646,0,55146
113417700201053,CONDO 500,Residential,4500,50646,0,55146
113417700201054,CONDO 500,Residential,4500,50646,0,55146
113417700201055,CONDO 500,Residential,4500,50646,0,55146
113417700201056,CONDO 500,Residential,4500,50646,0,55146
113417700201057,CONDO 500,Residential,4500,50646,0,55146
113417700201058,CONDO 500,Residential,4500,50646,0,55146
113417700201059,CONDO 500,Residential,4500,50646,0,55146
113417700201060,CONDO 500,Residential,4500,50646,0,55146
113417700201061,CONDO 500,Residential,4500,50646,0,55146
113417700201062,CONDO 500,Residential,4500,50646,0,55146
113417700201063,CONDO 500,Residential,4500,50646,0,55146
113417700201064,CONDO 500,Residential,4500,50646,0,55146
113417700201065,CONDO 500,Residential,4500,50646,0,55146
113417700201066,CONDO 500,Residential,4500,50646,0,55146
113417700201067,CONDO 500,Residential,4500,50646,0,55146
113417700201068,CONDO 500,Residential,4500,50624,0,55124
113417700201069,CONDO 500,Residential,4500,50515,0,55015
113417700201070,CONDO 500,Residential,4500,52705,0,57205
113417700201071,CONDO 500,Residential,4500,52014,0,56514
113417700201072,CONDO 500,Residential,4500,50515,0,55015
113417700201073,CONDO 500,Residential,4500,50624,0,55124
113417700201074,CONDO 500,Residential,4500,52014,0,56514
113417700201075,CONDO 500,Residential,4500,52705,0,57205
113417700201076,CONDO 500,Residential,4500,50529,0,55029
113417700201077,CONDO 500,Residential,4500,50529,0,55029
113417700201078,CONDO 500,Residential,4500,52315,0,56815
113417700201079,CONDO 500,Residential,4500,52315,0,56815
113417700201080,CONDO 500,Residential,4500,50624,0,55124
113417700201081,CONDO 500,Residential,4500,50515,0,55015
113417700201082,CONDO 500,Residential,4500,52705,0,57205
113417700201083,CONDO 500,Residential,4500,52014,0,56514
113417700201084,CONDO 500,Residential,4500,50515,0,55015
113417700201085,CONDO 500,Residential,4500,50624,0,55124
113417700201086,CONDO 500,Residential,4500,52019,0,56519
113417700201087,CONDO 500,Residential,4500,52705,0,57205
113417700201088,CONDO 500,Residential,4500,50646,0,55146
113417700201089,CONDO 500,Residential,4500,50646,0,55146
113417700201090,CONDO 500,Residential,4500,50646,0,55146
113417700201091,CONDO 500,Residential,4500,50646,0,55146
113417700201092,CONDO 500,Residential,4500,50646,0,55146
113417700201093,CONDO 500,Residential,4500,50646,0,55146
113417700201094,CONDO 500,Residential,4500,50646,0,55146
113417700201095,CONDO 500,Residential,4500,50646,0,55146
113417700201096,CONDO 500,Residential,4500,50646,0,55146
113417700201097,CONDO 500,Residential,4500,50646,0,55146
113417700201098,CONDO 500,Residential,4500,50515,0,55015
113417700201099,CONDO 500,Residential,4500,50624,0,55124
113417700201100,CONDO 500,Residential,4500,51654,0,56154
113417700201101,CONDO 500,Residential,4500,52705,0,57205
113417700201102,CONDO 500,Residential,4500,50624,0,55124
113417700201103,CONDO 500,Residential,4500,50515,0,55015
113417700201104,CONDO 500,Residential,4500,52705,0,57205
113417700201105,CONDO 500,Residential,4500,52014,0,56514
113417700201106,CONDO 500,Residential,4500,50515,0,55015
113417700201107,CONDO 500,Residential,4500,50624,0,55124
113417700201108,CONDO 500,Residential,4500,52014,0,56514
113417700201109,CONDO 500,Residential,4500,52705,0,57205
113417700201110,CONDO 500,Residential,4500,50624,0,55124
113417700201111,CONDO 500,Residential,4500,50515,0,55015
113417700201112,CONDO 500,Residential,4500,52705,0,57205
113417700201113,CONDO 500,Residential,4500,52014,0,56514
113417700201114,CONDO 500,Residential,4500,50515,0,55015
113417700201115,CONDO 500,Residential,4500,50624,0,55124
113417700201116,CONDO 500,Residential,4500,52014,0,56514
113417700201117,CONDO 500,Residential,4500,52705,0,57205
113417700201118,CONDO 500,Residential,4500,50624,0,55124
113417700201119,CONDO 500,Residential,4500,50515,0,55015
113417700201120,CONDO 500,Residential,4500,52705,0,57205
113417700201121,CONDO 500,Residential,4500,52014,0,56514
113417700201122,CONDO 500,Residential,4500,50515,0,55015
113417700201123,CONDO 500,Residential,4500,50624,0,55124
113417700201124,CONDO 500,Residential,4500,52014,0,56514
113417700201125,CONDO 500,Residential,4500,52705,0,57205
113417700201126,CONDO 500,Residential,4500,50624,0,55124
113417700201127,CONDO 500,Residential,4500,50515,0,55015
113417700201128,CONDO 500,Residential,4500,52705,0,57205
113417700201129,CONDO 500,Residential,4500,52014,0,56514
113417700201130,CONDO 500,Residential,4500,50646,0,55146
