GIS_Number_valuations,Map_Name_valuations,Class_valuations,2009 Land,2009 Dwlg,2009 Improv,2009 Total
113417700201131,CONDO 500,Residential,4500,50646,0,55146
113417700201132,CONDO 500,Residential,4500,50646,0,55146
113417700201133,CONDO 500,Residential,4500,50646,0,55146
113417700201134,CONDO 500,Residential,4500,50646,0,55146
113417700201135,CONDO 500,Residential,4500,50646,0,55146
113417700201136,CONDO 500,Residential,4500,50646,0,55146
113417700201137,CONDO 500,Residential,4500,50646,0,55146
113417700201138,CONDO 500,Residential,4500,50646,0,55146
113417700201139,CONDO 500,Residential,4500,50646,0,55146
113417700201140,CONDO 500,Residential,4500,50646,0,55146
113417700201141,CONDO 500,Residential,4500,50646,0,55146
113417700201142,CONDO 500,Residential,4500,50646,0,55146
113417700201143,CONDO 500,Residential,4500,50646,0,55146
113417700201144,CONDO 500,Residential,4500,50646,0,55146
113417700201145,CONDO 500,Residential,4500,50646,0,55146
113417700201146,CONDO 500,Residential,4500,50646,0,55146
113417700201147,CONDO 500,Residential,4500,50646,0,55146
113417700201148,CONDO 500,Residential,4500,50646,0,55146
113417700201149,CONDO 500,Residential,4500,50646,0,55146
113417700201150,CONDO 500,Residential,4500,50646,0,55146
113417700201151,CONDO 500,Residential,4500,50646,0,55146
113417700201152,CONDO 500,Residential,4500,50646,0,55146
113417700201153,CONDO 500,Residential,4500,50646,0,55146
113417700201154,CONDO 500,Residential,4500,50646,0,55146
113417700201155,CONDO 500,Residential,4500,50646,0,55146
113417700201156,CONDO 500,Residential,4500,50646,0,55146
113417700201157,CONDO 500,Residential,4500,50646,0,55146
113417700201158,CONDO 500,Residential,4500,50646,0,55146
113417700201159,CONDO 500,Residential,4500,50646,0,55146
113417700201160,CONDO 500,Residential,4500,50646,0,55146
113417700201161,CONDO 500,Residential,4500,50646,0,55146
113417700201162,CONDO 500,Residential,4500,50646,0,55146
113417700201163,CONDO 500,Residential,4500,50646,0,55146
113417700201164,CONDO 500,Residential,4500,50646,0,55146
113417700201165,CONDO 500,Residential,4500,50646,0,55146
113417700201166,CONDO 500,Residential,360,3478,0,3838
113417700201167,CONDO 500,Residential,360,3478,0,3838
113417700201168,CONDO 500,Residential,360,3478,0,3838
113417700201169,CONDO 500,Residential,360,3478,0,3838
113417700201170,CONDO 500,Residential,360,3478,0,3838
113417700201171,CONDO 500,Residential,360,3478,0,3838
113417700201172,CONDO 500,Residential,360,3478,0,3838
113417700201173,CONDO 500,Residential,360,3478,0,3838
113417700201174,CONDO 500,Residential,360,3478,0,3838
113417700201175,CONDO 500,Residential,360,3478,0,3838
113417700201176,CONDO 500,Residential,360,3478,0,3838
113417700201177,CONDO 500,Residential,360,3478,0,3838
113417700201178,CONDO 500,Residential,360,3478,0,3838
113417700201179,CONDO 500,Residential,360,3478,0,3838
113417700201180,CONDO 500,Residential,360,3478,0,3838
113417700201181,CONDO 500,Residential,360,3478,0,3838
113417700201182,CONDO 500,Residential,360,3478,0,3838
113417700201183,CONDO 500,Residential,360,3478,0,3838
113417700201184,CONDO 500,Residential,360,3478,0,3838
113417700201185,CONDO 500,Residential,360,3478,0,3838
113417700201186,CONDO 500,Residential,360,3478,0,3838
113417700201187,CONDO 500,Residential,360,3478,0,3838
113417700201188,CONDO 500,Residential,360,3478,0,3838
113417700201189,CONDO 500,Residential,360,3478,0,3838
113417700201190,CONDO 500,Residential,360,3478,0,3838
113417700201191,CONDO 500,Residential,360,3478,0,3838
113417700201192,CONDO 500,Residential,360,3478,0,3838
113417700201193,CONDO 500,Residential,360,3478,0,3838
113417700201194,CONDO 500,Residential,360,3478,0,3838
113417700201195,CONDO 500,Residential,360,3478,0,3838
113417700201196,CONDO 500,Residential,360,3478,0,3838
113417700201197,CONDO 500,Residential,360,3478,0,3838
113417700201198,CONDO 500,Residential,360,3478,0,3838
113417700201199,CONDO 500,Residential,360,3478,0,3838
113417700201200,CONDO 500,Residential,360,3478,0,3838
