GIS_Number,GIS_Number_2,Doing Business As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed
140330100200000,140330100200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.81,,,,,,,,
140332600100000,140332600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,99.0,,,,,,,,
140417600500000,140417600500000,,Commercial,E-15 CITY,5131,COUNCIL ST NE,CEDAR RAPIDS CITY OF,2.66,,,,,,,,
140425100100000,140425100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.77,,,,,,,,
140425200100000,140425200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,19.95,,,,,,,,
140430101200000,140430101200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.8,,,,,,,,
140430101400000,140430101400000,,Exempt,E-15 CITY,,0 VACANT LAND NE,CITY OF CEDAR RAPIDS,0.08,,,,,,,,
140437600500000,140437600500000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.05,,,,,,,,
140445800900000,140445800900000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.2,,,,,,,,
140447800800000,140447800800000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.03,,,,,,,,
140447801000000,140447801000000,,Exempt,E-15 CITY,4424,RUSHMORE DR NE,CEDAR RAPIDS CITY OF,0.2172,,,,,,,,
140447802800000,140447802800000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.0949,,,,,,,,
140535100100000,140535100100000,,Exempt,E-15 CITY,3600,42ND ST NE,CITY OF CEDAR RAPIDS,148.14,,,,,,,,
140540200100000,140540200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.48,,,,,,,,
140547601400000,140547601400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.9,,,,,,,,
140627600300000,140627600300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.08,,,,,,,,
140737600100000,140737600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,23.0,,,,,,,,
140745100100000,140745100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,46.0,,,,,,,,
140818001300000,140818001300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.4,,,,,,,,
140822602400000,140822602400000,,Exempt,E-15 CITY,3601,42ND ST NE,CITY OF CEDAR RAPIDS,0.95,,,,,,,,
140832602700000,140832602700000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,19.51,,,,,,,,
140837600100000,140837600100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,24.91,,,,,,,,
140930201600000,140930201600000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,3.86,,,,,,,,
140945200100000,140945200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.84,,,,,,,,
141015900800000,141015900800000,,Exempt,E-15 CITY,900,35TH ST NE,CITY OF CEDAR RAPIDS,1.72,,,,,,,,
141127603200000,141127603200000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,3.27,,,,,,,,
141130500600000,141130500600000,,Exempt,E-15 CITY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.3391,,,,,,,,
141130500700000,141130500700000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.35,,,,,,,,
141130500800000,141130500800000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.35,,,,,,,,
141135300300000,141135300300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.1,,,,,,,,
141135300500000,141135300500000,,Exempt,E-15 CITY,206,29TH ST NE,CITY OF CEDAR RAPIDS,0.38,,,,,,,,
141137600400000,141137600400000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.2314,,,,,,,,
141137600500000,141137600500000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.1479,,,,,,,,
141137600600000,141137600600000,,Exempt,E-15 CITY,3145,EMERALD AVE SE,CITY OF CEDAR RAPIDS,0.1492,,,,,,,,
141138001700000,141138001700000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.0654,,,,,,,,
141138001800000,141138001800000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,2.9543,,,,,,,,
141145700700000,141145700700000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.6569,,,,,,,,
141332600900000,141332600900000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,14.15,,,,,,,,
141337602000000,141337602000000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,4.98,,,,,,,,
141337602100000,141337602100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,,,,,,,,,
141345400100000,141345400100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,4.94,,,,,,,,
141420100100000,141420100100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,1.413,,,,,,,,
141420100200000,141420100200000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.2919,,,,,,,,
141445100300000,141445100300000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,8.89,,,,,,,,
141445200100000,141445200100000,,Exempt,E-15 CITY,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,2.84,,,,,,,,
141445200400000,141445200400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.28,,,,,,,,
141447800400000,141447800400000,,Exempt,E-15 CITY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,6.62,,,,,,,,
141515102100000,141515102100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.2268,,,,,,,,
141530101100000,141530101100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.85,,,,,,,,
141615200100000,141615200100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,14.1,,,,,,,,
141625100200000,141625100200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,45.99,,,,,,,,
141630100100000,141630100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.8687,,,,,,,,
141630100400000,141630100400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.45,,,,,,,,
141632600100000,141632600100000,,Exempt,E-15 CITY,1111,SHAVER RD NE,CEDAR RAPIDS CITY OF,17.66,,,,,,,,
141632600400000,141632600400000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,4.5,,,,,,,,
141632600600000,141632600600000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.06,,,,,,,,
141632600700000,141632600700000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.13,,,,,,,,
141635100200000,141635100200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.02,,,,,,,,
141637700100000,141637700100000,,Exempt,E-15 CITY,855,SHAVER RD NE,CITY OF CEDAR RAPIDS,0.6741,,,,,,,,
141640100100000,141640100100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,25.67,,,,,,,,
141645900100000,141645900100000,,Exempt,E-15 CITY,791,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.1722,,,,,,,,
141645900200000,141645900200000,,Exempt,E-15 CITY,793,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.0689,,,,,,,,
141645900400000,141645900400000,,Exempt,E-15 CITY,799,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.1194,,,,,,,,
141645900500000,141645900500000,,Exempt,E-15 CITY,801,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.1245,,,,,,,,
141645900700000,141645900700000,,Exempt,E-15 CITY,813,SHAVER RD NE,CEDAR RAPIDS CITY OF,0.1607,,,,,Shop,1964,1516,
141645901300000,141645901300000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.126,,,,,,,,
141715300100000,141715300100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,29.73,,,,,,,,
141717800200000,141717800200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,6.5,,,,,,,,
141720300100000,141720300100000,,Exempt,E-15 CITY,100,J AVE NE,CITY OF CEDAR RAPIDS,2.5,,,,,,,,
141722600100000,141722600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,15.0,,,,,,,,
141725101200000,141725101200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,6.41,,,,,,,,
141725200200000,141725200200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,13.91,,,,,,,,
141730100100000,141730100100000,,Exempt,E-15 CITY,1876,ELLIS LN NW,CITY OF CEDAR RAPIDS,156.68,,,,,,,,
141732600100000,141732600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,22.2,,,,,,,,
141740200200000,141740200200000,,Exempt,E-15 CITY,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,47.2,,,,,,,,
141810100100000,141810100100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,44.11,,,,,,,,
141815105300000,141815105300000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,19.7,,,,,,,,
141817600100000,141817600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,38.75,,,,,,,,
141820100200000,141820100200000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,5.95,,,,,,,,
141822600100000,141822600100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,4.37,,,,,,,,
141822800100000,141822800100000,,Exempt,E-15 CITY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,4.0,,,,,,,,
141840100100000,141840100100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,4.21,,,,,,,,
141840101700000,141840101700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,2.5,,,,,,,,
141847603000000,141847603000000,,Exempt,E-15 CITY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.96,,,,,,,,
141922803800000,141922803800000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.1491,,,,,,,,
141940100100000,141940100100000,,Exempt,E-15 CITY,1101,19TH ST NW,CITY OF CEDAR RAPIDS,19.83,,,,,,,,
141945500300000,141945500300000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.316,,,,,,,,
141945601700000,141945601700000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,,,,,,,,,
141947900100000,141947900100000,,Exempt,E-15 CITY,730,19TH ST NW,CITY OF CEDAR RAPIDS,0.1928,,,,,,,,
142010200100000,142010200100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2118,,,,,,,,
142027700100000,142027700100000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.53,,,,,,,,
142027700500000,142027700500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.72,,,,,,,,
142035700300000,142035700300000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2296,,,,,,,,
142035700500000,142035700500000,,Exempt,E-15 CITY,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5142,,,,,,,,
142040600200000,142040600200000,,Exempt,E-15 CITY,1131,5TH ST NW,CITY OF CEDAR RAPIDS,5.9,,,,,,,,
142040800800000,142040800800000,,Exempt,E-15 CITY,1021,5TH ST NW,CITY OF CEDAR RAPIDS,0.1263,Single-Family,Salvage,1935-01-01,6801-01-01,,,,
