GIS_Number_valuations,Map_Name_valuations,Class_valuations,2010 Land Res,2010 Land Comm,2010 Land Total,2010 Dwlg,2010 Improv,2010 Total
112635403900000,NE 160,Residential,29096,0,29096,201433,0,230529
112635404000000,NE 160,Residential,30807,0,30807,178075,0,208882
112635404100000,NE 160,Residential,28613,0,28613,214603,0,243216
112635404200000,NE 160,Residential,29318,0,29318,197488,0,226806
112635500100000,NE 160,Residential,30446,0,30446,181859,0,212305
112635600100000,NE 160,Residential,31118,0,31118,192985,0,224103
112635700100000,NE 160,Residential,32879,0,32879,266680,0,299559
112635700300000,NE 160,Residential,29605,0,29605,198116,0,227721
112635700400000,NE 160,Residential,29393,0,29393,194263,0,223656
112635700500000,NE 160,Residential,28561,0,28561,195194,0,223755
112637600100000,NE 160,Residential,28938,0,28938,198073,0,227011
112637600200000,NE 160,Residential,29481,0,29481,206904,0,236385
112637600300000,NE 160,Residential,29451,0,29451,163102,0,192553
112637600400000,NE 160,Residential,29724,0,29724,176326,0,206050
112637600500000,NE 160,Residential,29684,0,29684,187195,0,216879
112637600600000,NE 160,Residential,28817,0,28817,204505,0,233322
112637600700000,NE 160,Residential,29840,0,29840,167561,0,197401
112637600800000,NE 160,Residential,29345,0,29345,206269,0,235614
112637600900000,NE 160,Residential,26671,0,26671,175808,0,202479
112637601000000,NE 160,Residential,29925,0,29925,202822,0,232747
112637700100000,NE 160,Residential,28932,0,28932,184106,0,213038
112637700200000,NE 160,Residential,26866,0,26866,206290,0,233156
112637700300000,NE 160,Residential,29200,0,29200,196862,0,226062
112637700400000,NE 160,Residential,29645,0,29645,188361,0,218006
112637700500000,NE 160,Residential,29694,0,29694,224861,0,254555
112637700600000,NE 160,Residential,27743,0,27743,177149,0,204892
112637700700000,NE 160,Residential,29283,0,29283,194324,0,223607
112637700800000,NE 160,Residential,26437,0,26437,201115,0,227552
112637700900000,NE 160,Residential,27916,0,27916,185036,0,212952
112637701000000,NE 160,Residential,26950,0,26950,183189,0,210139
112637701100000,NE 160,Residential,29988,0,29988,192829,0,222817
