GIS_Number_valuations,Map_Name_valuations,Class_valuations,2015 Land Res,2015 Land Comm,2015 Total Land,2015 Dwlg,2015 Improv,2015 Total
112635403500000,NE 160,RESIDENTIAL,47600,0,47600,198800,0,246400
112635403600000,NE 160,RESIDENTIAL,49400,0,49400,190300,0,239700
112635403700000,NE 160,RESIDENTIAL,51100,0,51100,195300,0,246400
112635403800000,NE 160,RESIDENTIAL,49400,0,49400,214600,0,264000
112635403900000,NE 160,RESIDENTIAL,47800,0,47800,202700,0,250500
112635404000000,NE 160,RESIDENTIAL,50600,0,50600,163900,0,214500
112635404100000,NE 160,RESIDENTIAL,47000,0,47000,206100,0,253100
112635404200000,NE 160,RESIDENTIAL,48200,0,48200,184100,0,232300
112635500100000,NE 160,RESIDENTIAL,50000,0,50000,165200,0,215200
112635600100000,NE 160,RESIDENTIAL,51100,0,51100,175500,0,226600
112635700100000,NE 160,RESIDENTIAL,54000,0,54000,286800,0,340800
112635700300000,NE 160,RESIDENTIAL,48600,0,48600,197800,0,246400
112635700400000,NE 160,RESIDENTIAL,48300,0,48300,199800,0,248100
112635700500000,NE 160,RESIDENTIAL,46900,0,46900,201600,0,248500
112637600100000,NE 160,RESIDENTIAL,47500,0,47500,181900,0,229400
112637600200000,NE 160,RESIDENTIAL,48400,0,48400,188600,0,237000
112637600300000,NE 160,RESIDENTIAL,48400,0,48400,148900,0,197300
112637600400000,NE 160,RESIDENTIAL,48800,0,48800,160600,0,209400
112637600500000,NE 160,RESIDENTIAL,48800,0,48800,180200,0,229000
112637600600000,NE 160,RESIDENTIAL,47300,0,47300,203600,0,250900
112637600700000,NE 160,RESIDENTIAL,49000,0,49000,156600,0,205600
112637600800000,NE 160,RESIDENTIAL,48200,0,48200,204300,0,252500
112637600900000,NE 160,RESIDENTIAL,43800,0,43800,161300,0,205100
112637601000000,NE 160,RESIDENTIAL,49200,0,49200,199700,0,248900
112637700100000,NE 160,RESIDENTIAL,47500,0,47500,180100,0,227600
112637700200000,NE 160,RESIDENTIAL,44100,0,44100,188000,0,232100
112637700300000,NE 160,RESIDENTIAL,48000,0,48000,203300,0,251300
112637700400000,NE 160,RESIDENTIAL,48700,0,48700,173200,0,221900
112637700500000,NE 160,RESIDENTIAL,48800,0,48800,199600,0,248400
112637700600000,NE 160,RESIDENTIAL,45600,0,45600,167700,0,213300
112637700700000,NE 160,RESIDENTIAL,48100,0,48100,187200,0,235300
112637700800000,NE 160,RESIDENTIAL,43400,0,43400,192900,0,236300
112637700900000,NE 160,RESIDENTIAL,45900,0,45900,175300,0,221200
112637701000000,NE 160,RESIDENTIAL,44300,0,44300,186000,0,230300
112637701100000,NE 160,RESIDENTIAL,49300,0,49300,174400,0,223700
112637701200000,NE 160,RESIDENTIAL,48800,0,48800,205500,0,254300
112637701300000,NE 160,RESIDENTIAL,48300,0,48300,217400,0,265700
112637701400000,NE 160,RESIDENTIAL,46800,0,46800,147100,0,193900
112637701500000,NE 160,RESIDENTIAL,50400,0,50400,199500,0,249900
112637701600000,NE 160,RESIDENTIAL,50500,0,50500,185700,0,236200
112637701700000,NE 160,RESIDENTIAL,47700,0,47700,163000,0,210700
112637701800000,NE 160,RESIDENTIAL,47900,0,47900,163800,0,211700
112637701900000,NE 160,RESIDENTIAL,48100,0,48100,177200,0,225300
112637702000000,NE 160,RESIDENTIAL,45500,0,45500,175900,0,221400
112637702100000,NE 160,RESIDENTIAL,45500,0,45500,197400,0,242900
112637702200000,NE 160,RESIDENTIAL,48300,0,48300,173700,0,222000
112637702300000,NE 160,RESIDENTIAL,46600,0,46600,176200,0,222800
112637702400000,NE 160,RESIDENTIAL,47900,0,47900,166500,0,214400
112637702500000,NE 160,RESIDENTIAL,47600,0,47600,207600,0,255200
112637702600000,NE 160,RESIDENTIAL,49800,0,49800,178700,0,228500
112637702700000,NE 160,RESIDENTIAL,47600,0,47600,187300,0,234900
112637800100000,NE 160,RESIDENTIAL,46900,0,46900,191800,0,238700
112637800200000,NE 160,RESIDENTIAL,44600,0,44600,197700,0,242300
112637800300000,NE 160,RESIDENTIAL,48700,0,48700,203000,0,251700
112637800400000,NE 160,RESIDENTIAL,47700,0,47700,223400,0,271100
112637800500000,NE 160,RESIDENTIAL,47100,0,47100,218300,0,265400
112637800600000,NE 160,RESIDENTIAL,48300,0,48300,193300,0,241600
112637800700000,NE 160,RESIDENTIAL,46400,0,46400,194200,0,240600
112637800800000,NE 160,RESIDENTIAL,46100,0,46100,178700,0,224800
112637800900000,NE 160,RESIDENTIAL,47200,0,47200,194100,0,241300
112637801000000,NE 160,RESIDENTIAL,48000,0,48000,179700,0,227700
112637801100000,NE 160,RESIDENTIAL,49900,0,49900,195800,0,245700
112637801200000,NE 160,RESIDENTIAL,47000,0,47000,182300,0,229300
112637801300000,NE 160,RESIDENTIAL,46600,0,46600,191500,0,238100
112637801400000,NE 160,RESIDENTIAL,46000,0,46000,203900,0,249900
112637801500000,NE 160,RESIDENTIAL,46000,0,46000,181700,0,227700
112637801600000,NE 160,RESIDENTIAL,44300,0,44300,186900,0,231200
