GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2012 Land Res,2012 Land Comm,2012 Land Total,2012 Dwlg,2012 Improv,2012 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
131345101000000,,Exempt,CITY PROPERTY,0,VACANT LOT NW,CEDAR RAPIDS CITY OF,0.4165,,,,,,,,,0,0,0,0,0,0,131345101000000,Empty,Exempt,0,0,0,0,131345101000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131410100100000,,Exempt,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,80.26,,,,,,,,,0,0,0,0,0,0,131410100100000,Empty,Exempt,0,0,0,0,131410100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131515200900000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,0,0,131515200900000,Empty,Exempt,0,0,0,0,131515200900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131522600100000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,5.62,,,,,,,,,0,0,0,0,0,0,131522600100000,Empty,Exempt,0,0,0,0,131522600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131532600100000,,Exempt,CITY PROPERTY,7807,ELLIS RD NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,0,0,131532600100000,Empty,Exempt,0,0,0,0,131532600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131542601200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.77,,,,,,,,,0,0,0,0,0,0,,,,,,,,131542601200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132247701500000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.4,,,,,,,,,0,0,0,0,0,0,132247701500000,NW 332,Exempt,0,0,0,0,132247701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132410100500000,,Exempt,CITY PROPERTY,1610,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,0.3519,,,,,,,,,0,0,0,0,0,0,132410100500000,Empty,Exempt,0,0,0,0,132410100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415202400000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,,0,0,0,0,0,0,132415202400000,Empty,Exempt,0,0,0,0,132415202400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415300200000,,Exempt,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.17,,,,,,,,,0,0,0,0,0,0,132415300200000,Empty,Exempt,0,0,0,0,132415300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
