GIS_Number,Doing Business As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,_unnamed,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total
131515200900000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.14,,,,,,,,,0,0,0,0,131515200900000,Empty,Exempt,0,0,0,0,131515200900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131522600100000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,5.62,,,,,,,,,0,0,0,0,131522600100000,Empty,Exempt,0,0,0,0,131522600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
131532600100000,,Exempt,Empty,7807,ELLIS RD NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,131532600100000,Empty,Exempt,0,0,0,0,131532600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132247701500000,,Exempt,NW 332,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.4,,,,,,,,,0,0,0,0,132247701500000,NW 332,Exempt,0,0,0,0,132247701500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132410100500000,,Exempt,Empty,1610,EDGEWOOD RD NW,CEDAR RAPIDS CITY OF,0.3519,,,,,,,,,0,0,0,0,132410100500000,Empty,Exempt,0,0,0,0,132410100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415202400000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.2893,,,,,,,,,0,0,0,0,132415202400000,Empty,Exempt,0,0,0,0,132415202400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415300200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.17,,,,,,,,,0,0,0,0,132415300200000,Empty,Exempt,0,0,0,0,132415300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132415301500000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,4.13,,,,,,,,,0,0,0,0,132415301500000,Empty,Exempt,0,0,0,0,132415301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132425101100000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,132425101100000,Empty,Exempt,0,0,0,0,132425101100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132427601100000,,Exempt,Empty,4340,M AVE NW,CITY OF CEDAR RAPIDS,0.9871,,,,,,,,,0,0,0,0,132427601100000,Empty,Exempt,0,0,0,0,132427601100000,NW 337,RESIDENTIAL,21200,0,21200,0,0,21200
132432600700000,,Ag Land,NW 345,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,7.7,,,,,,,,,7170,0,0,7170,132432600700000,NW 345,Ag Land,7170,0,0,7170,132432600700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132438002700000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.0165,,,,,,,,,0,0,0,0,132438002700000,Empty,Exempt,0,0,0,0,132438002700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100100000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5854,,,,,,,,,0,0,0,0,132515100100000,Empty,Exempt,0,0,0,0,132515100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.281,,,,,,,,,0,0,0,0,132515100200000,Empty,Exempt,0,0,0,0,132515100200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515100300000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.4215,,,,,,,,,0,0,0,0,132515100300000,Empty,Exempt,0,0,0,0,132515100300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515200100000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,10.53,,,,,,,,,0,0,0,0,132515200100000,Empty,Exempt,0,0,0,0,132515200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132515300800000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2984,,,,,,,,,0,0,0,0,132515300800000,Empty,Exempt,0,0,0,0,132515300800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132517600200000,,Exempt,Empty,3572,JOHNSON AVE NW,CITY OF CEDAR RAPIDS,4.0,,,,,,,,,0,0,0,0,132517600200000,Empty,Exempt,0,0,0,0,132517600200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132520401600000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.4624,,,,,,,,,0,0,0,0,132520401600000,Empty,Exempt,0,0,0,0,132520401600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301500000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.2254,,,,,,,,,0,0,0,0,132525301500000,Empty,Exempt,0,0,0,0,132525301500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525301600000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,2.4929,,,,,,,,,0,0,0,0,132525301600000,Empty,Exempt,0,0,0,0,132525301600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132525800100000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.71,,,,,,,,,0,0,0,0,132525800100000,Empty,Exempt,0,0,0,0,132525800100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132527601000000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.5676,,,,,,,,,0,0,0,0,132527601000000,Empty,Exempt,0,0,0,0,132527601000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400100000,,Exempt,Empty,4201,JUPITER AVE NW,CITY OF CEDAR RAPIDS,0.1688,,,,,,,,,0,0,0,0,132528400100000,Empty,Exempt,0,0,0,0,132528400100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528400200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.5506,,,,,,,,,0,0,0,0,132528400200000,Empty,Exempt,0,0,0,0,132528400200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528500100000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.18,,,,,,,,,0,0,0,0,132528500100000,Empty,Exempt,0,0,0,0,132528500100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528600600000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.17,,,,,,,,,0,0,0,0,132528600600000,Empty,Exempt,0,0,0,0,132528600600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528700100000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.27,,,,,,,,,0,0,0,0,132528700100000,Empty,Exempt,0,0,0,0,132528700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132528700200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.83,,,,,,,,,0,0,0,0,132528700200000,Empty,Exempt,0,0,0,0,132528700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132530300200000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.05,,,,,,,,,0,0,0,0,132530300200000,Empty,Exempt,0,0,0,0,132530300200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132530300300000,,Exempt,Empty,4545,JOHNSON AVE NW,CITY OF CEDAR RAPIDS,,Single-Family,Salvage,1954,1860.0,,,,,0,0,0,0,132530300300000,Empty,Exempt,0,0,0,0,132530300300000,NW 344,RESIDENTIAL,51300,0,51300,100800,0,152100
132532700200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,3.16,,,,,,,,,0,0,0,0,132532700200000,Empty,Exempt,0,0,0,0,132532700200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132535100500000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,1.91,,,,,,,,,0,0,0,0,132535100500000,Empty,Exempt,0,0,0,0,132535100500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132537700100000,,Exempt,Empty,100,WILEY BLVD SW,CITY OF CEDAR RAPIDS,1.0,,,,,,,,,0,0,0,0,132537700100000,Empty,Exempt,0,0,0,0,132537700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132548000600000,VACANT LAND,Exempt,COMM SW,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.988,,,,,,,,,0,0,0,0,132548000600000,COMM SW,Exempt,0,0,0,0,132548000600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132610400900000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,0.0459,,,,,,,,,0,0,0,0,132610400900000,Empty,Exempt,0,0,0,0,132610400900000,NW 329,RESIDENTIAL,7500,0,7500,0,0,7500
132627600100000,,Exempt,Empty,341,STONEY POINT RD NW,CITY OF CEDAR RAPIDS,61.27,,,,,,,,,0,0,0,0,132627600100000,Empty,Exempt,0,0,0,0,132627600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132632700300000,,Exempt,Empty,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,2.5379,,,,,,,,,0,0,0,0,132632700300000,Empty,Exempt,0,0,0,0,132632700300000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132632800900000,,Exempt,NW 332,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.028,,,,,,,,,0,0,0,0,132632800900000,NW 332,Exempt,0,0,0,0,,,,,,,,,
132642702200000,,Exempt,Empty,0,VACANT LAND NW,CITY OF CEDAR RAPIDS,6.96,,,,,,,,,0,0,0,0,132642702200000,Empty,Exempt,0,0,0,0,132642702200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710300100000,,Exempt,NW 332,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,1.49,,,,,,,,,0,0,0,0,132710300100000,NW 332,Exempt,0,0,0,0,132710300100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132710400700000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.52,,,,,,,,,0,0,0,0,132710400700000,Empty,Exempt,0,0,0,0,132710400700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132712701800000,,Exempt,Empty,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,,,,,,,,,,0,0,0,0,132712701800000,Empty,Exempt,0,0,0,0,132712701800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132725500200000,,Exempt,NW 332,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,0.86,,,,,,,,,0,0,0,0,132725500200000,NW 332,Exempt,0,0,0,0,132725500200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132740103500000,,Exempt,Empty,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,1.88,,,,,,,,,0,0,0,0,132740103500000,Empty,Exempt,0,0,0,0,132740103500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
132742700100000,,Exempt,Empty,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,0.5254,,,,,,,,,0,0,0,0,132742700100000,Empty,Exempt,0,0,0,0,132742700100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
133517600100000,,Exempt,Empty,0,VACANT LAND SW,CITY OF CEDAR RAPIDS,16.39,,,,,,,,,0,0,0,0,133517600100000,Empty,Exempt,0,0,0,0,133517600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140320400100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.33,,,,,,,,,0,0,0,0,140320400100000,Empty,Exempt,0,0,0,0,140320400100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140330100200000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,2.81,,,,,,,,,0,0,0,0,140330100200000,Empty,Exempt,0,0,0,0,140330100200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140332600100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,99.0,,,,,,,,,0,0,0,0,140332600100000,Empty,Exempt,0,0,0,0,140332600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140417600500000,PEI'S MANDARIN CHINESE REST.,Exempt,Empty,5131,COUNCIL ST NE,CEDAR RAPIDS CITY OF,2.66,,,,,Restaurant,1976,7835,,0,0,0,0,140417600500000,Empty,Exempt,0,0,0,0,140417600500000,FLAT PARKING,COMMERCIAL,0,595700,595700,0,20700,616400
140425100100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.77,,,,,,,,,0,0,0,0,140425100100000,Empty,Exempt,0,0,0,0,140425100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140425200100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,19.95,,,,,,,,,0,0,0,0,140425200100000,Empty,Exempt,0,0,0,0,140425200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140430101200000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.8,,,,,,,,,0,0,0,0,140430101200000,Empty,Exempt,0,0,0,0,140430101200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140437600500000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,2.05,,,,,,,,,0,0,0,0,140437600500000,Empty,Exempt,0,0,0,0,140437600500000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140445800900000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.2,,,,,,,,,0,0,0,0,140445800900000,Empty,Exempt,0,0,0,0,140445800900000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447800800000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.03,,,,,,,,,0,0,0,0,140447800800000,Empty,Exempt,0,0,0,0,140447800800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447801000000,,Exempt,Empty,4424,RUSHMORE DR NE,CEDAR RAPIDS CITY OF,0.2172,,,,,,,,,0,0,0,0,140447801000000,Empty,Exempt,0,0,0,0,140447801000000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140447802800000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.0949,,,,,,,,,0,0,0,0,140447802800000,Empty,Exempt,0,0,0,0,140447802800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140535100100000,,Exempt,Empty,3600,42ND ST NE,CITY OF CEDAR RAPIDS,148.14,,,,,,,,,0,0,0,0,140535100100000,Empty,Exempt,0,0,0,0,140535100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140540200100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,8.48,,,,,,,,,0,0,0,0,140540200100000,Empty,Exempt,0,0,0,0,140540200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140547601400000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,1.9,,,,,,,,,0,0,0,0,140547601400000,Empty,Exempt,0,0,0,0,140547601400000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140627600300000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,8.08,,,,,,,,,0,0,0,0,140627600300000,Empty,Exempt,0,0,0,0,,,,,,,,,
140737600100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,23.0,,,,,,,,,0,0,0,0,140737600100000,Empty,Exempt,0,0,0,0,140737600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140745100100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,46.0,,,,,,,,,0,0,0,0,140745100100000,Empty,Exempt,0,0,0,0,140745100100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140818001000000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.3053,,,,,,,,,0,0,0,0,140818001000000,Empty,Exempt,0,0,0,0,,,,,,,,,
140822602400000,,Exempt,Empty,3601,42ND ST NE,CITY OF CEDAR RAPIDS,0.95,,,,,,,,,0,0,0,0,140822602400000,Empty,Exempt,0,0,0,0,140822602400000,OFFICE,COMMERCIAL,0,190000,190000,0,280600,470600
140832602700000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,19.51,,,,,,,,,0,0,0,0,140832602700000,Empty,Exempt,0,0,0,0,140832602700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140837600100000,,Exempt,Empty,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,24.91,,,,,,,,,0,0,0,0,140837600100000,Empty,Exempt,0,0,0,0,140837600100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140930201600000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,3.86,,,,,,,,,0,0,0,0,140930201600000,Empty,Exempt,0,0,0,0,140930201600000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
140945200100000,,Exempt,Empty,0,VACANT LAND NE,CITY OF CEDAR RAPIDS,0.84,,,,,,,,,0,0,0,0,140945200100000,Empty,Exempt,0,0,0,0,140945200100000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
141015900800000,,Exempt,Empty,900,35TH ST NE,CITY OF CEDAR RAPIDS,1.72,,,,,,,,,0,0,0,0,141015900800000,Empty,Exempt,0,0,0,0,141015900800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
141127603200000,,Exempt,Empty,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,3.27,,,,,,,,,0,0,0,0,141127603200000,Empty,Exempt,0,0,0,0,141127603200000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
141130500600000,,Exempt,Empty,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.3391,,,,,,,,,0,0,0,0,141130500600000,Empty,Exempt,0,0,0,0,,,,,,,,,
141130500700000,,Exempt,Empty,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.35,,,,,,,,,0,0,0,0,141130500700000,Empty,Exempt,0,0,0,0,141130500700000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
141130500800000,,Exempt,Empty,0,VACANT LAND SE,CITY OF CEDAR RAPIDS,0.35,,,,,,,,,0,0,0,0,141130500800000,Empty,Exempt,0,0,0,0,141130500800000,CITY PROPERTY,EXEMPT,0,0,0,0,0,0
