GIS_Number,Doing_Business_As,Class,Map Name,Hse#,Address,Deedholder,Acres,Residential Occupancy Type,Style Descr,Year Built,Total Living Area,Commercial Occupancy Type,Year Built_2,Gross Bldg Area,2016 Land Res,2016 Land Comm,2016 Land Total,2016 Dwlg,2016 Improv,2016 Total,GIS_Number_valuations,Map_Name_valuations,Class_valuations,2008 Land,2008 Dwlg,2008 Improv,2008 total
113425900100000,DETENTION AREA,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,1.4,,,,,,,,0,0,0,0,0,0,113425900100000,Empty,Exempt,0,0,0,0
142137700602000,DOUBLE TREE HOTEL-TAXABLE PORTION-BLL,COMMERCIAL,HOTEL,350,1ST AVE NE,CEDAR RAPIDS CITY OF,,,,,,Hotel / Motel,1978,185799,0,0,0,0,14650800,14650800,,,,,,,
143228200100000,DRAINAGE DITCH,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1252,,,,,,,,0,0,0,0,0,0,143228200100000,Empty,Exempt,0,0,0,0
143227801200000,DRAINAGE DITCH,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.1283,,,,,,,,0,0,0,0,0,0,143227801200000,Empty,Exempt,0,0,0,0
143227800300000,DRAINAGE DITCH,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.2556,,,,,,,,0,0,0,0,0,0,143227800300000,Empty,Exempt,0,0,0,0
142221301100000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.012,,,,,,,,0,0,0,0,0,0,142221301100000,Empty,Exempt,0,0,0,0
142223000800000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.064,,,,,,,,0,0,0,0,0,0,142223000800000,Empty,Exempt,0,0,0,0
140430101400000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND NE,CEDAR RAPIDS CITY OF,0.08,,,,,,,,0,0,0,0,0,0,,,,,,,
142823101400000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.14,,,,,,,,0,0,0,0,0,0,,,,,,,
142822801200000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.48,,,,,,,,0,0,0,0,0,0,,,,,,,
142823201300000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,0.55,,,,,,,,0,0,0,0,0,0,,,,,,,
192037600400000,DRIVEWAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SW,CEDAR RAPIDS CITY OF,2.53,,,,,,,,0,0,0,0,0,0,,,,,,,
193010100100000,EASTERN IOWA AIRPORT,EXEMPT,CITY PROPERTY,2121,ARTHUR COLLINS PKWY SW,CEDAR RAPIDS CITY OF,937.9435,,,,,,,,0,0,0,0,0,0,193010100100000,Empty,Exempt,0,0,0,0
141840101700000,ELLIS GOLF COURSE,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,2.5,,,,,,,,0,0,0,0,0,0,141840101700000,Empty,Exempt,0,0,0,0
141840102100000,ELLIS GOLF COURSE,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,3.59,,,,,,,,0,0,0,0,0,0,,,,,,,
141815105300000,ELLIS GOLF COURSE,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,19.7,,,,,,,,0,0,0,0,0,0,141815105300000,Empty,Exempt,0,0,0,0
141817600100000,ELLIS GOLF COURSE,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,38.75,,,,,,,,0,0,0,0,0,0,141817600100000,Empty,Exempt,0,0,0,0
141732600100000,ELLIS PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND NW,CEDAR RAPIDS CITY OF,22.2,,,,,,,,0,0,0,0,0,0,141732600100000,Empty,Exempt,0,0,0,0
141730100100000,ELLIS PARK,EXEMPT,CITY PROPERTY,1876,ELLIS LN NW,CEDAR RAPIDS CITY OF,156.68,,,,,,,,0,0,0,0,0,0,141730100100000,Empty,Exempt,0,0,0,0
142813101200000,ENTRY WAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.0037,,,,,,,,0,0,0,0,0,0,,,,,,,
142813101300000,ENTRY WAY,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.01,,,,,,,,0,0,0,0,0,0,,,,,,,
142240601000000,FAIRVIEW PARK,EXEMPT,CITY PROPERTY,0,VACANT LAND SE,CEDAR RAPIDS CITY OF,0.34,,,,,,,,0,0,0,0,0,0,142240601000000,Empty,Exempt,0,0,0,0
190925100100000,FIRE STATION #2,EXEMPT,CITY PROPERTY,442,50TH AVE CT SW,CEDAR RAPIDS CITY OF,3.39,,,,,,,,0,0,0,0,0,0,190925100100000,Empty,Exempt,0,0,0,0
143332800300000,FIRE STATION #5,EXEMPT,CITY PROPERTY,509,WILSON AVE SW,CEDAR RAPIDS CITY OF,0.1757,,,,,,,,0,0,0,0,0,0,143332800300000,Empty,Exempt,0,0,0,0
