Physician_Profile_ID,Category,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_State,Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_ID,Total_Amount_of_Payment_USDollars,Date_of_Payment,Category,Record_ID
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,168.37,07/23/2015,GNRL,331468493
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,165.00,05/08/2014,GNRL,187882128
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,163.85,10/23/2014,GNRL,188120330
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,125.00,12/03/2015,GNRL,332516617
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,124.99,07/28/2014,GNRL,187988658
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,123.53,12/04/2015,GNRL,332516489
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,121.43,01/16/2015,GNRL,332293903
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,120.86,11/15/2013,GNRL,14023923
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,110.00,07/28/2014,GNRL,187988730
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,102.94,12/04/2015,GNRL,332516453
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,99.00,09/04/2013,GNRL,111735574
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,99.00,11/17/2014,GNRL,168671385
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,99.00,11/17/2014,GNRL,168482070
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,91.43,05/08/2014,GNRL,187881978
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,90.94,11/15/2013,GNRL,14023913
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,65.23,11/18/2015,GNRL,332490607
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,62.48,07/28/2014,GNRL,187988728
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,62.45,03/26/2015,GNRL,332510617
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,62.01,12/04/2015,GNRL,332516525
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,58.55,11/13/2015,GNRL,332487043
1268775,GNRL,"AbbVie, Inc.",IL,100000000204,53.01,01/29/2015,GNRL,308735875
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,50.20,12/04/2015,GNRL,332516421
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,41.98,10/24/2014,GNRL,188122012
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,41.37,03/27/2015,GNRL,332510707
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,40.56,03/27/2015,GNRL,332510751
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,39.37,01/16/2015,GNRL,331519855
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,37.47,10/23/2014,GNRL,188119556
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,33.58,10/24/2014,GNRL,188121982
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,27.39,10/24/2013,GNRL,14023921
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,25.99,05/08/2014,GNRL,187881916
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,25.79,11/13/2015,GNRL,332487039
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,24.00,11/12/2014,GNRL,188149588
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,20.52,10/24/2014,GNRL,188121792
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,18.66,10/24/2014,GNRL,188121678
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,18.54,03/27/2015,GNRL,332510795
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,17.12,03/27/2015,GNRL,332510659
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,16.67,12/12/2014,GNRL,188182362
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,16.00,05/08/2014,GNRL,187882062
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,15.86,10/03/2013,GNRL,14023915
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,14.46,11/12/2014,GNRL,188149562
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,14.31,02/27/2014,GNRL,187788800
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,13.56,11/15/2013,GNRL,14023922
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,12.06,12/02/2015,GNRL,295091074
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,11.21,11/18/2015,GNRL,332490615
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,11.19,11/05/2014,GNRL,168725842
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,10.48,02/28/2014,GNRL,168865868
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,9.38,11/01/2013,GNRL,111792762
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,3.99,09/09/2014,GNRL,168722566
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,3.87,11/12/2014,GNRL,188147476
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,1.38,11/05/2014,GNRL,168938436
1268775,GNRL,"Astellas Pharma US Inc",IL,100000000137,1.21,02/28/2014,GNRL,168483328
1268775,GNRL,"E.R. Squibb & Sons, L.L.C.",NJ,100000005499,0.62,10/18/2013,GNRL,14023914
